session_id,customer_id,started_at,ended_at,source,device,session_duration_min,session_date_dt,date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,full_date_dt
11000000000,791.0,2024-02-02 15:54:00,2024-02-02 16:05:00,ads,desktop,11.0,2024-02-02,20240202,2024-02-02,2024,1,2,February,2,4,Friday,2024-02-02
11000000001,332.0,2025-07-26 11:49:20,2025-07-26 11:57:20,direct,desktop,8.0,2025-07-26,20250726,2025-07-26,2025,3,7,July,26,5,Saturday,2025-07-26
11000000003,771.0,2024-03-24 15:50:13,2024-03-24 16:30:13,ads,mobile,40.0,2024-03-24,20240324,2024-03-24,2024,1,3,March,24,6,Sunday,2024-03-24
11000000004,908.0,2024-08-22 16:47:04,2024-08-22 17:00:04,direct,mobile,13.0,2024-08-22,20240822,2024-08-22,2024,3,8,August,22,3,Thursday,2024-08-22
11000000005,1222.0,2024-03-22 05:51:18,2024-03-22 06:30:18,referral,mobile,39.0,2024-03-22,20240322,2024-03-22,2024,1,3,March,22,4,Friday,2024-03-22
11000000006,490.0,2024-10-03 07:29:04,2024-10-03 07:51:04,ads,mobile,22.0,2024-10-03,20241003,2024-10-03,2024,4,10,October,3,3,Thursday,2024-10-03
11000000007,705.0,2024-10-11 18:15:07,2024-10-11 19:09:07,ads,mobile,54.0,2024-10-11,20241011,2024-10-11,2024,4,10,October,11,4,Friday,2024-10-11
11000000008,1161.0,2025-03-11 19:44:43,2025-03-11 19:53:43,direct,mobile,9.0,2025-03-11,20250311,2025-03-11,2025,1,3,March,11,1,Tuesday,2025-03-11
11000000009,841.0,2024-04-30 03:13:06,2024-04-30 03:26:06,ads,mobile,13.0,2024-04-30,20240430,2024-04-30,2024,2,4,April,30,1,Tuesday,2024-04-30
11000000011,162.0,2024-02-09 05:29:50,2024-02-09 06:04:50,social,mobile,35.0,2024-02-09,20240209,2024-02-09,2024,1,2,February,9,4,Friday,2024-02-09
11000000013,1477.0,2025-09-14 06:05:32,2025-09-14 07:03:32,ads,mobile,58.0,2025-09-14,20250914,2025-09-14,2025,3,9,September,14,6,Sunday,2025-09-14
11000000015,60.0,2025-08-28 02:39:38,2025-08-28 03:35:38,ads,desktop,56.0,2025-08-28,20250828,2025-08-28,2025,3,8,August,28,3,Thursday,2025-08-28
11000000016,520.0,2024-03-22 00:57:44,2024-03-22 01:13:44,direct,mobile,16.0,2024-03-22,20240322,2024-03-22,2024,1,3,March,22,4,Friday,2024-03-22
11000000020,575.0,2024-05-28 03:18:27,2024-05-28 03:55:27,direct,mobile,37.0,2024-05-28,20240528,2024-05-28,2024,2,5,May,28,1,Tuesday,2024-05-28
11000000021,508.0,2025-04-27 23:37:39,2025-04-28 00:14:39,direct,desktop,37.0,2025-04-27,20250427,2025-04-27,2025,2,4,April,27,6,Sunday,2025-04-27
11000000024,99.0,2024-08-11 11:31:53,2024-08-11 12:07:53,direct,mobile,36.0,2024-08-11,20240811,2024-08-11,2024,3,8,August,11,6,Sunday,2024-08-11
11000000025,1277.0,2025-04-24 12:04:45,2025-04-24 12:25:45,ads,mobile,21.0,2025-04-24,20250424,2025-04-24,2025,2,4,April,24,3,Thursday,2025-04-24
11000000027,95.0,2025-05-03 12:29:17,2025-05-03 12:35:17,direct,tablet,6.0,2025-05-03,20250503,2025-05-03,2025,2,5,May,3,5,Saturday,2025-05-03
11000000028,1286.0,2025-03-26 23:10:58,2025-03-26 23:49:58,direct,mobile,39.0,2025-03-26,20250326,2025-03-26,2025,1,3,March,26,2,Wednesday,2025-03-26
11000000029,1176.0,2024-03-07 21:17:05,2024-03-07 21:38:05,direct,mobile,21.0,2024-03-07,20240307,2024-03-07,2024,1,3,March,7,3,Thursday,2024-03-07
11000000030,1053.0,2024-10-01 10:32:08,2024-10-01 11:26:08,ads,desktop,54.0,2024-10-01,20241001,2024-10-01,2024,4,10,October,1,1,Tuesday,2024-10-01
11000000031,290.0,2024-07-27 16:49:46,2024-07-27 16:59:46,ads,mobile,10.0,2024-07-27,20240727,2024-07-27,2024,3,7,July,27,5,Saturday,2024-07-27
11000000032,357.0,2024-01-17 07:46:02,2024-01-17 08:11:02,direct,mobile,25.0,2024-01-17,20240117,2024-01-17,2024,1,1,January,17,2,Wednesday,2024-01-17
11000000033,391.0,2024-01-05 15:19:41,2024-01-05 15:37:41,ads,mobile,18.0,2024-01-05,20240105,2024-01-05,2024,1,1,January,5,4,Friday,2024-01-05
11000000034,830.0,2025-08-30 07:25:30,2025-08-30 07:32:30,direct,desktop,7.0,2025-08-30,20250830,2025-08-30,2025,3,8,August,30,5,Saturday,2025-08-30
11000000035,1076.0,2025-07-22 19:20:42,2025-07-22 19:56:42,ads,desktop,36.0,2025-07-22,20250722,2025-07-22,2025,3,7,July,22,1,Tuesday,2025-07-22
11000000037,622.0,2025-01-09 09:17:08,2025-01-09 10:05:08,email,desktop,48.0,2025-01-09,20250109,2025-01-09,2025,1,1,January,9,3,Thursday,2025-01-09
11000000038,990.0,2025-05-09 07:15:24,2025-05-09 07:16:24,social,mobile,1.0,2025-05-09,20250509,2025-05-09,2025,2,5,May,9,4,Friday,2025-05-09
